video_id,lang,text,timecode
obb5TBaJFvs,English - obb5TBaJFvs_Caption,,0:00 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,,0:01 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,,0:02 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,,0:03 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,,0:04 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,,0:05 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,,0:06 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,,0:07 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,,0:08 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,,0:09 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,,0:10 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>>> A,0:10 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>>> A YOUNG MAN SAYS HE,0:11 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>>> A YOUNG MAN SAYS HE OPENED FIRE TO DEFEND HIS,0:12 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,I'M SHERN-MIN CHOW.,0:12 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,I'M SHERN-MIN CHOW. WELCOME,0:13 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,I'M SHERN-MIN CHOW. WELCOME BACK,0:13 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,I'M SHERN-MIN CHOW. WELCOME BACK,0:14 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,I'M SHERN-MIN CHOW. WELCOME BACK,0:15 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,I'M SHERN-MIN CHOW. WELCOME BACK,0:16 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,I'M SHERN-MIN CHOW. WELCOME BACK TO THE,0:16 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,WELCOME BACK TO THE 411. MICHELLE CHOI,0:17 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,MICHELLE CHOI EXPLAINS WHY THE FAMILY SAYS,0:18 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,MICHELLE CHOI EXPLAINS WHY THE FAMILY SAYS THAT YOUNG MAN,0:18 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,FAMILY SAYS THAT YOUNG MAN REACTED SO QUICKLY AND,0:19 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,REACTED SO QUICKLY AND DECISIVELY.,0:19 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,REACTED SO QUICKLY AND DECISIVELY.,0:20 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,REACTED SO QUICKLY AND DECISIVELY.,0:21 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,REACTED SO QUICKLY AND DECISIVELY.,0:22 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,DECISIVELY. >>,0:22 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: AT A LOSS FOR,0:23 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,">> Reporter: AT A LOSS FOR WORDS, AND HOLDING",0:24 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,">> Reporter: AT A LOSS FOR WORDS, AND HOLDING BACK",0:24 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,">> Reporter: AT A LOSS FOR WORDS, AND HOLDING BACK TEARS",0:25 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,">> Reporter: AT A LOSS FOR WORDS, AND HOLDING BACK TEARS",0:26 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,">> Reporter: AT A LOSS FOR WORDS, AND HOLDING BACK TEARS",0:27 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"WORDS, AND HOLDING BACK TEARS -- >> Reporter: I SEE",0:27 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"WORDS, AND HOLDING BACK TEARS -- >> Reporter: I SEE YOU'RE",0:28 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: I SEE YOU'RE GETTING,0:28 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: I SEE YOU'RE GETTING,0:29 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: I SEE YOU'RE GETTING,0:30 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"GETTING EMOTIONAL, YOU NEVER",0:31 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"GETTING EMOTIONAL, YOU NEVER WANTED YOUR SON AND THE",0:32 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"WANTED YOUR SON AND THE SITUATION,",0:33 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"WANTED YOUR SON AND THE SITUATION,",0:34 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"WANTED YOUR SON AND THE SITUATION,",0:35 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"WANTED YOUR SON AND THE SITUATION,",0:36 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"WANTED YOUR SON AND THE SITUATION,",0:37 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"WANTED YOUR SON AND THE SITUATION,",0:38 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"WANTED YOUR SON AND THE SITUATION,",0:39 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"SITUATION, RIGHT?",0:39 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,"SITUATION, RIGHT? >> I CAN SAY TAKE ME",0:40 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,">> Reporter: DAD, ALFREDO",0:41 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,">> Reporter: DAD, ALFREDO RODRIGUEZ TOLD US THIS MORNING",0:41 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,RODRIGUEZ TOLD US THIS MORNING HE WOULD DO ANYTHING TO,0:42 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,HE WOULD DO ANYTHING TO SWITCH PLACES WITH HIS SON,0:42 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,HE WOULD DO ANYTHING TO SWITCH PLACES WITH HIS SON AFTER,0:43 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,PLACES WITH HIS SON AFTER AN,0:44 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,PLACES WITH HIS SON AFTER AN,0:45 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,PLACES WITH HIS SON AFTER AN INVESTIGATOR,0:45 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,PLACES WITH HIS SON AFTER AN INVESTIGATOR SAID HE SHOT AND,0:46 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,INVESTIGATOR SAID HE SHOT AND KILLED A MAN ATTACKING,0:47 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,PARENTS. >> FROM,0:47 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> FROM WHAT I'M SEEING ON VIDEO,0:48 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,VIDEO AND FROM WHAT EVERYBODY IS,0:48 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,IS TELLING ME YES. HE IS,0:49 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,IS TELLING ME YES. HE IS,0:50 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,IS TELLING ME YES. HE IS CLEARLY,0:50 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,IS TELLING ME YES. HE IS CLEARLY TAKING,0:51 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,HE IS CLEARLY TAKING ACTION TO PROTECT HIS DAD,0:51 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,PROTECT HIS DAD AND MOM. >> Reporter:,0:52 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: SHOOTING TOOK LACE IN,0:53 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: SHOOTING TOOK LACE IN THAT,0:53 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: SHOOTING TOOK LACE IN THAT,0:54 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: SHOOTING TOOK LACE IN THAT,0:55 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: SHOOTING TOOK LACE IN THAT,0:56 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: SHOOTING TOOK LACE IN THAT,0:57 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: SHOOTING TOOK LACE IN THAT,0:58 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: SHOOTING TOOK LACE IN THAT,0:59 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: SHOOTING TOOK LACE IN THAT,1:00 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: SHOOTING TOOK LACE IN THAT,1:01 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,>> Reporter: SHOOTING TOOK LACE IN THAT PARKING LOT OF,1:02 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,IN THAT PARKING LOT OF OSTIONERIA MICHOACAN BAR AND,1:02 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,OSTIONERIA MICHOACAN BAR AND RESTAURANT JUST BEFORE 2:00,1:03 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,THIS MORNING. THE,1:04 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,THE FAMILY WAS INSIDE THE RESTAURANT,1:04 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,RESTAURANT WHEN ALFREDO SAYS A MAN IN,1:05 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,RESTAURANT WHEN ALFREDO SAYS A MAN IN HIS 30s,1:05 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,RESTAURANT WHEN ALFREDO SAYS A MAN IN HIS 30s,1:06 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,RESTAURANT WHEN ALFREDO SAYS A MAN IN HIS 30s,1:07 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,RESTAURANT WHEN ALFREDO SAYS A MAN IN HIS 30s,1:08 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,RESTAURANT WHEN ALFREDO SAYS A MAN IN HIS 30s,1:09 / 2:08
obb5TBaJFvs,English - obb5TBaJFvs_Caption,RESTAURANT WHEN ALFREDO SAYS A MAN IN HIS 30s,1:10 / 2:08
