video_id,lang,text,timecode
5480ugZXn_I,English - Caption,,0:00 / 3:45
5480ugZXn_I,English - Caption,,0:01 / 3:45
5480ugZXn_I,English - Caption,,0:02 / 3:45
5480ugZXn_I,English - Caption,,0:03 / 3:45
5480ugZXn_I,English - Caption,,0:04 / 3:45
5480ugZXn_I,English - Caption,,0:05 / 3:45
5480ugZXn_I,English - Caption,,0:06 / 3:45
5480ugZXn_I,English - Caption,,0:07 / 3:45
5480ugZXn_I,English - Caption,,0:08 / 3:45
5480ugZXn_I,English - Caption,,0:09 / 3:45
5480ugZXn_I,English - Caption, But there's a problem with  disappearing into the work --,0:10 / 3:45
5480ugZXn_I,English - Caption, But there's a problem with  disappearing into the work --,0:11 / 3:45
5480ugZXn_I,English - Caption, But there's a problem with  disappearing into the work --,0:12 / 3:45
5480ugZXn_I,English - Caption, you can't save every patient.,0:13 / 3:45
5480ugZXn_I,English - Caption, you can't save every patient.,0:14 / 3:45
5480ugZXn_I,English - Caption, you can't save every patient.,0:15 / 3:45
5480ugZXn_I,English - Caption,Maggie: It was Richard and Winston's idea.,0:15 / 3:45
5480ugZXn_I,English - Caption,Maggie: It was Richard and Winston's idea.,0:16 / 3:45
5480ugZXn_I,English - Caption,What?,0:17 / 3:45
5480ugZXn_I,English - Caption,What?,0:18 / 3:45
5480ugZXn_I,English - Caption,♪ The winds are changing ♪,0:18 / 3:45
5480ugZXn_I,English - Caption,♪ The winds are changing ♪,0:19 / 3:45
5480ugZXn_I,English - Caption,♪ The winds are changing ♪,0:20 / 3:45
5480ugZXn_I,English - Caption,♪ The winds are changing ♪,0:21 / 3:45
5480ugZXn_I,English - Caption,♪ The whispers of the angels ♪,0:21 / 3:45
5480ugZXn_I,English - Caption,♪ The whispers of the angels ♪,0:22 / 3:45
5480ugZXn_I,English - Caption,It's a good idea.,0:22 / 3:45
5480ugZXn_I,English - Caption,It's a good idea.,0:23 / 3:45
5480ugZXn_I,English - Caption,It's a good idea.,0:24 / 3:45
5480ugZXn_I,English - Caption,"And when I was checking Ellis' homework,",0:25 / 3:45
5480ugZXn_I,English - Caption,"And when I was checking Ellis' homework,",0:26 / 3:45
5480ugZXn_I,English - Caption,"And when I was checking Ellis' homework,",0:27 / 3:45
5480ugZXn_I,English - Caption,she was actually doing pretty well.,0:27 / 3:45
5480ugZXn_I,English - Caption,she was actually doing pretty well.,0:28 / 3:45
5480ugZXn_I,English - Caption,she was actually doing pretty well.,0:29 / 3:45
5480ugZXn_I,English - Caption,she was actually doing pretty well.,0:30 / 3:45
5480ugZXn_I,English - Caption,I'm scared.,0:30 / 3:45
5480ugZXn_I,English - Caption,I'm scared.,0:31 / 3:45
5480ugZXn_I,English - Caption,Zola: I don't know why.,0:32 / 3:45
5480ugZXn_I,English - Caption,"Bailey: Me, too.",0:33 / 3:45
5480ugZXn_I,English - Caption,I need this year to get better.,0:34 / 3:45
5480ugZXn_I,English - Caption,I need this year to get better.,0:35 / 3:45
5480ugZXn_I,English - Caption,I need this year to get better.,0:36 / 3:45
5480ugZXn_I,English - Caption,"[ Sniffles ] Me, too.",0:37 / 3:45
5480ugZXn_I,English - Caption,"[ Sniffles ] Me, too.",0:38 / 3:45
5480ugZXn_I,English - Caption,♪ The darkness won't hurt us any longer ♪,0:39 / 3:45
5480ugZXn_I,English - Caption,♪ The darkness won't hurt us any longer ♪,0:40 / 3:45
5480ugZXn_I,English - Caption,♪ The darkness won't hurt us any longer ♪,0:41 / 3:45
5480ugZXn_I,English - Caption,♪ The darkness won't hurt us any longer ♪,0:42 / 3:45
5480ugZXn_I,English - Caption,Amelia: What happened? Is she okay?,0:42 / 3:45
5480ugZXn_I,English - Caption,"Yes. Yeah, she's the same.",0:43 / 3:45
5480ugZXn_I,English - Caption,"Yes. Yeah, she's the same.",0:44 / 3:45
5480ugZXn_I,English - Caption,What?,0:45 / 3:45
5480ugZXn_I,English - Caption,What?,0:46 / 3:45
