video_id,lang,text,timecode
vHRL47spxT4,English,(bright music),0:00 / 9:53
vHRL47spxT4,English,(bright music),0:01 / 9:53
vHRL47spxT4,English,(bright music),0:02 / 9:53
vHRL47spxT4,English,- So when I first previewed the new features,0:03 / 9:53
vHRL47spxT4,English,- So when I first previewed the new features,0:04 / 9:53
vHRL47spxT4,English,- So when I first previewed the new features,0:05 / 9:53
vHRL47spxT4,English,"inside Android 11,",0:06 / 9:53
vHRL47spxT4,English,"inside Android 11,",0:07 / 9:53
vHRL47spxT4,English,I said that Android is a mature operating system.,0:08 / 9:53
vHRL47spxT4,English,I said that Android is a mature operating system.,0:09 / 9:53
vHRL47spxT4,English,I said that Android is a mature operating system.,0:10 / 9:53
vHRL47spxT4,English,I said that Android is a mature operating system.,0:11 / 9:53
vHRL47spxT4,English,What that means is that unless some designer inside Google,0:12 / 9:53
vHRL47spxT4,English,What that means is that unless some designer inside Google,0:13 / 9:53
vHRL47spxT4,English,What that means is that unless some designer inside Google,0:14 / 9:53
vHRL47spxT4,English,"has a wild-eyed harebrained idea,",0:15 / 9:53
vHRL47spxT4,English,"has a wild-eyed harebrained idea,",0:16 / 9:53
vHRL47spxT4,English,"has a wild-eyed harebrained idea,",0:17 / 9:53
vHRL47spxT4,English,things just aren't going to radically change,0:17 / 9:53
vHRL47spxT4,English,things just aren't going to radically change,0:18 / 9:53
vHRL47spxT4,English,things just aren't going to radically change,0:19 / 9:53
vHRL47spxT4,English,that much in a mature OS.,0:20 / 9:53
vHRL47spxT4,English,that much in a mature OS.,0:21 / 9:53
vHRL47spxT4,English,"Instead, the updates are gonna be about cleaning up",0:21 / 9:53
vHRL47spxT4,English,"Instead, the updates are gonna be about cleaning up",0:22 / 9:53
vHRL47spxT4,English,"Instead, the updates are gonna be about cleaning up",0:23 / 9:53
vHRL47spxT4,English,some bugs or fixing some security and privacy issues,0:23 / 9:53
vHRL47spxT4,English,some bugs or fixing some security and privacy issues,0:24 / 9:53
vHRL47spxT4,English,some bugs or fixing some security and privacy issues,0:25 / 9:53
vHRL47spxT4,English,some bugs or fixing some security and privacy issues,0:26 / 9:53
vHRL47spxT4,English,or adding new features.,0:26 / 9:53
vHRL47spxT4,English,or adding new features.,0:27 / 9:53
vHRL47spxT4,English,or adding new features.,0:28 / 9:53
vHRL47spxT4,English,But the thing about adding new features,0:29 / 9:53
vHRL47spxT4,English,But the thing about adding new features,0:30 / 9:53
vHRL47spxT4,English,"is that if you don't do it right,",0:30 / 9:53
vHRL47spxT4,English,"is that if you don't do it right,",0:31 / 9:53
vHRL47spxT4,English,you end up just overwhelming the user.,0:32 / 9:53
vHRL47spxT4,English,you end up just overwhelming the user.,0:33 / 9:53
vHRL47spxT4,English,you end up just overwhelming the user.,0:34 / 9:53
vHRL47spxT4,English,It all becomes this weird slurry of things,0:35 / 9:53
vHRL47spxT4,English,It all becomes this weird slurry of things,0:36 / 9:53
vHRL47spxT4,English,It all becomes this weird slurry of things,0:37 / 9:53
vHRL47spxT4,English,that you just completely ignore.,0:37 / 9:53
vHRL47spxT4,English,that you just completely ignore.,0:38 / 9:53
vHRL47spxT4,English,"I mean, look at every single Samsung phone",0:39 / 9:53
vHRL47spxT4,English,"I mean, look at every single Samsung phone",0:40 / 9:53
vHRL47spxT4,English,"I mean, look at every single Samsung phone",0:41 / 9:53
vHRL47spxT4,English,"I mean, look at every single Samsung phone",0:42 / 9:53
vHRL47spxT4,English,from like the Galaxy S3 to the Galaxy S8,0:42 / 9:53
