video_id,lang,text,timecode
4EQx0_M0558,English - Caption,,0:00 / 5:02
4EQx0_M0558,English - Caption,,0:01 / 5:02
4EQx0_M0558,English - Caption,,0:02 / 5:02
4EQx0_M0558,English - Caption,,0:03 / 5:02
4EQx0_M0558,English - Caption,,0:04 / 5:02
4EQx0_M0558,English - Caption,,0:05 / 5:02
4EQx0_M0558,English - Caption,,0:06 / 5:02
4EQx0_M0558,English - Caption,,0:07 / 5:02
4EQx0_M0558,English - Caption,,0:08 / 5:02
4EQx0_M0558,English - Caption,I'm saying yes.,0:08 / 5:02
4EQx0_M0558,English - Caption,I'm saying yes.,0:09 / 5:02
4EQx0_M0558,English - Caption,What? You're saying yes?,0:10 / 5:02
4EQx0_M0558,English - Caption,What? You're saying yes?,0:11 / 5:02
4EQx0_M0558,English - Caption,"To my question, you're saying yes? Yes.",0:12 / 5:02
4EQx0_M0558,English - Caption,"To my question, you're saying yes? Yes.",0:13 / 5:02
4EQx0_M0558,English - Caption,I'm saying -- Yeah. I thought that's what you wanted.,0:13 / 5:02
4EQx0_M0558,English - Caption,I'm saying -- Yeah. I thought that's what you wanted.,0:14 / 5:02
4EQx0_M0558,English - Caption,I'm saying -- Yeah. I thought that's what you wanted.,0:15 / 5:02
4EQx0_M0558,English - Caption,"Yeah, but -- Yes?",0:16 / 5:02
4EQx0_M0558,English - Caption,"Yeah, but -- Yes?",0:17 / 5:02
4EQx0_M0558,English - Caption,"Like, I didn't think it would be that easy.",0:18 / 5:02
4EQx0_M0558,English - Caption,"Like, I didn't think it would be that easy.",0:19 / 5:02
4EQx0_M0558,English - Caption,I'm sorry. You call this night easy?,0:19 / 5:02
4EQx0_M0558,English - Caption,I'm sorry. You call this night easy?,0:20 / 5:02
4EQx0_M0558,English - Caption,I'm sorry. You call this night easy?,0:21 / 5:02
4EQx0_M0558,English - Caption,"No, not -- not easy like that,",0:22 / 5:02
4EQx0_M0558,English - Caption,"but, like, I thought [chuckles] you'd have to pray",0:23 / 5:02
4EQx0_M0558,English - Caption,"but, like, I thought [chuckles] you'd have to pray",0:24 / 5:02
4EQx0_M0558,English - Caption,"but, like, I thought [chuckles] you'd have to pray",0:25 / 5:02
4EQx0_M0558,English - Caption,"or consult with Matthew, maybe get your pastor involved,",0:26 / 5:02
4EQx0_M0558,English - Caption,"or consult with Matthew, maybe get your pastor involved,",0:27 / 5:02
4EQx0_M0558,English - Caption,"or consult with Matthew, maybe get your pastor involved,",0:28 / 5:02
4EQx0_M0558,English - Caption,"or consult with Matthew, maybe get your pastor involved,",0:29 / 5:02
4EQx0_M0558,English - Caption,some additional praying... Yeah. Yeah. Matthew will be fine.,0:29 / 5:02
4EQx0_M0558,English - Caption,some additional praying... Yeah. Yeah. Matthew will be fine.,0:30 / 5:02
4EQx0_M0558,English - Caption,"[ Sighs ] Alright, well, when does he get back?",0:31 / 5:02
4EQx0_M0558,English - Caption,"[ Sighs ] Alright, well, when does he get back?",0:32 / 5:02
4EQx0_M0558,English - Caption,I can help with the pitch. I can talk to him.,0:33 / 5:02
4EQx0_M0558,English - Caption,I can help with the pitch. I can talk to him.,0:34 / 5:02
4EQx0_M0558,English - Caption,"What do you want me to...? Uh, no. No. No.",0:34 / 5:02
4EQx0_M0558,English - Caption,"What do you want me to...? Uh, no. No. No.",0:35 / 5:02
4EQx0_M0558,English - Caption,"What do you want me to...? Uh, no. No. No.",0:36 / 5:02
4EQx0_M0558,English - Caption,"No, that's a horrible and weird idea...",0:37 / 5:02
4EQx0_M0558,English - Caption,"No, that's a horrible and weird idea...",0:38 / 5:02
4EQx0_M0558,English - Caption,Yes. ...obviously.,0:39 / 5:02
4EQx0_M0558,English - Caption,"Um, but tell him that I can help him with work.",0:40 / 5:02
4EQx0_M0558,English - Caption,"Um, but tell him that I can help him with work.",0:41 / 5:02
4EQx0_M0558,English - Caption,I'll make sure everything is arranged for him and for Ruby.,0:42 / 5:02
4EQx0_M0558,English - Caption,I'll make sure everything is arranged for him and for Ruby.,0:43 / 5:02
4EQx0_M0558,English - Caption,We split up.,0:44 / 5:02
4EQx0_M0558,English - Caption,We split up.,0:45 / 5:02
4EQx0_M0558,English - Caption,We split up.,0:46 / 5:02
4EQx0_M0558,English - Caption,♪,0:46 / 5:02
4EQx0_M0558,English - Caption,♪,0:47 / 5:02
4EQx0_M0558,English - Caption,♪,0:48 / 5:02
4EQx0_M0558,English - Caption,Oh.,0:49 / 5:02
4EQx0_M0558,English - Caption,Oh.,0:50 / 5:02
4EQx0_M0558,English - Caption,♪,0:51 / 5:02
4EQx0_M0558,English - Caption,♪,0:52 / 5:02
4EQx0_M0558,English - Caption,♪,0:53 / 5:02
4EQx0_M0558,English - Caption,♪,0:54 / 5:02
4EQx0_M0558,English - Caption,♪,0:55 / 5:02
4EQx0_M0558,English - Caption,♪,0:56 / 5:02
4EQx0_M0558,English - Caption,♪,0:57 / 5:02
4EQx0_M0558,English - Caption,We kept trying to tell ourselves that our whole winding road,0:58 / 5:02
4EQx0_M0558,English - Caption,We kept trying to tell ourselves that our whole winding road,0:59 / 5:02
4EQx0_M0558,English - Caption,We kept trying to tell ourselves that our whole winding road,1:00 / 5:02
4EQx0_M0558,English - Caption,We kept trying to tell ourselves that our whole winding road,1:01 / 5:02
4EQx0_M0558,English - Caption,was God's plan to bring us back together.,1:02 / 5:02
4EQx0_M0558,English - Caption,was God's plan to bring us back together.,1:03 / 5:02
4EQx0_M0558,English - Caption,was God's plan to bring us back together.,1:04 / 5:02
4EQx0_M0558,English - Caption,[ Breathes deeply ],1:05 / 5:02
4EQx0_M0558,English - Caption,But he was still so angry and so hurt.,1:06 / 5:02
4EQx0_M0558,English - Caption,But he was still so angry and so hurt.,1:07 / 5:02
4EQx0_M0558,English - Caption,But he was still so angry and so hurt.,1:08 / 5:02
4EQx0_M0558,English - Caption,But he was still so angry and so hurt.,1:09 / 5:02
4EQx0_M0558,English - Caption,But he was still so angry and so hurt.,1:10 / 5:02
4EQx0_M0558,English - Caption,"I mean, I left him at the altar, and then his wife died.",1:11 / 5:02
4EQx0_M0558,English - Caption,"I mean, I left him at the altar, and then his wife died.",1:12 / 5:02
4EQx0_M0558,English - Caption,"I mean, I left him at the altar, and then his wife died.",1:13 / 5:02
4EQx0_M0558,English - Caption,"You know, you don't just stop feeling hurt",1:13 / 5:02
4EQx0_M0558,English - Caption,"You know, you don't just stop feeling hurt",1:14 / 5:02
4EQx0_M0558,English - Caption,"You know, you don't just stop feeling hurt",1:15 / 5:02
4EQx0_M0558,English - Caption,'cause it's a better story,1:15 / 5:02
4EQx0_M0558,English - Caption,'cause it's a better story,1:16 / 5:02
4EQx0_M0558,English - Caption,if God brought us together in our pain.,1:17 / 5:02
4EQx0_M0558,English - Caption,if God brought us together in our pain.,1:18 / 5:02
4EQx0_M0558,English - Caption,if God brought us together in our pain.,1:19 / 5:02
4EQx0_M0558,English - Caption,if God brought us together in our pain.,1:20 / 5:02
4EQx0_M0558,English - Caption,He denied it for so long.,1:21 / 5:02
4EQx0_M0558,English - Caption,He denied it for so long.,1:22 / 5:02
4EQx0_M0558,English - Caption,"You know, he tried so hard not to hate me.",1:23 / 5:02
4EQx0_M0558,English - Caption,"You know, he tried so hard not to hate me.",1:24 / 5:02
4EQx0_M0558,English - Caption,"You know, he tried so hard not to hate me.",1:25 / 5:02
4EQx0_M0558,English - Caption,"I think loving me, making us a full circle",1:26 / 5:02
4EQx0_M0558,English - Caption,"I think loving me, making us a full circle",1:27 / 5:02
4EQx0_M0558,English - Caption,"I think loving me, making us a full circle",1:28 / 5:02
4EQx0_M0558,English - Caption,"I think loving me, making us a full circle",1:29 / 5:02
4EQx0_M0558,English - Caption,was the story he was writing.,1:29 / 5:02
4EQx0_M0558,English - Caption,was the story he was writing.,1:30 / 5:02
4EQx0_M0558,English - Caption,was the story he was writing.,1:31 / 5:02
4EQx0_M0558,English - Caption,"I mean, I guess it was the story we were both writing.",1:31 / 5:02
4EQx0_M0558,English - Caption,"I mean, I guess it was the story we were both writing.",1:32 / 5:02
4EQx0_M0558,English - Caption,"I mean, I guess it was the story we were both writing.",1:33 / 5:02
4EQx0_M0558,English - Caption,"I mean, I guess it was the story we were both writing.",1:34 / 5:02
4EQx0_M0558,English - Caption,"I mean, I was trying to get past my guilt.",1:34 / 5:02
4EQx0_M0558,English - Caption,"I mean, I was trying to get past my guilt.",1:35 / 5:02
4EQx0_M0558,English - Caption,"I mean, I was trying to get past my guilt.",1:36 / 5:02
4EQx0_M0558,English - Caption,He was -- He was trying to forgive God,1:36 / 5:02
4EQx0_M0558,English - Caption,He was -- He was trying to forgive God,1:37 / 5:02
4EQx0_M0558,English - Caption,for the loss of Karin.,1:38 / 5:02
4EQx0_M0558,English - Caption,for the loss of Karin.,1:39 / 5:02
4EQx0_M0558,English - Caption,♪,1:40 / 5:02
4EQx0_M0558,English - Caption,♪,1:41 / 5:02
4EQx0_M0558,English - Caption,♪,1:42 / 5:02
4EQx0_M0558,English - Caption,♪,1:43 / 5:02
4EQx0_M0558,English - Caption,"But, y-you know, ultimately, we learned that...",1:43 / 5:02
