video_id,lang,text,timecode
htmeP3R7Eaw,English - Caption,,0:00 / 3:56
htmeP3R7Eaw,English - Caption,,0:01 / 3:56
htmeP3R7Eaw,English - Caption,,0:02 / 3:56
htmeP3R7Eaw,English - Caption,,0:03 / 3:56
htmeP3R7Eaw,English - Caption,,0:04 / 3:56
htmeP3R7Eaw,English - Caption,,0:05 / 3:56
htmeP3R7Eaw,English - Caption,and not Maggie or Amelia?,0:06 / 3:56
htmeP3R7Eaw,English - Caption,and not Maggie or Amelia?,0:07 / 3:56
htmeP3R7Eaw,English - Caption,You've known me my whole life.,0:08 / 3:56
htmeP3R7Eaw,English - Caption,You've known me my whole life.,0:09 / 3:56
htmeP3R7Eaw,English - Caption,You've known me my whole life.,0:10 / 3:56
htmeP3R7Eaw,English - Caption,You've known me my whole life.,0:11 / 3:56
htmeP3R7Eaw,English - Caption,You're the only one I can trust,0:12 / 3:56
htmeP3R7Eaw,English - Caption,You're the only one I can trust,0:13 / 3:56
htmeP3R7Eaw,English - Caption,to pull the plug if my brain is gone.,0:14 / 3:56
htmeP3R7Eaw,English - Caption,to pull the plug if my brain is gone.,0:15 / 3:56
htmeP3R7Eaw,English - Caption,to pull the plug if my brain is gone.,0:16 / 3:56
htmeP3R7Eaw,English - Caption,I'll do every damn thing I can first.,0:17 / 3:56
htmeP3R7Eaw,English - Caption,I'll do every damn thing I can first.,0:18 / 3:56
htmeP3R7Eaw,English - Caption,I know you will.,0:18 / 3:56
htmeP3R7Eaw,English - Caption,I know you will.,0:19 / 3:56
htmeP3R7Eaw,English - Caption,I know you will.,0:20 / 3:56
htmeP3R7Eaw,English - Caption,♪ And when your prayer's unheard and you don't believe ♪,0:20 / 3:56
htmeP3R7Eaw,English - Caption,♪ And when your prayer's unheard and you don't believe ♪,0:21 / 3:56
htmeP3R7Eaw,English - Caption,And you -- you don't want to be put on a vent?,0:22 / 3:56
htmeP3R7Eaw,English - Caption,And you -- you don't want to be put on a vent?,0:23 / 3:56
htmeP3R7Eaw,English - Caption,And you -- you don't want to be put on a vent?,0:24 / 3:56
htmeP3R7Eaw,English - Caption,[ Coughs ] ♪ So put your faith in the devil and the deep blue sea ♪,0:25 / 3:56
htmeP3R7Eaw,English - Caption,[ Coughs ] ♪ So put your faith in the devil and the deep blue sea ♪,0:26 / 3:56
htmeP3R7Eaw,English - Caption,There's a shortage. I don't want to take one,0:27 / 3:56
htmeP3R7Eaw,English - Caption,There's a shortage. I don't want to take one,0:28 / 3:56
htmeP3R7Eaw,English - Caption,There's a shortage. I don't want to take one,0:29 / 3:56
htmeP3R7Eaw,English - Caption,from somebody who needs it.,0:30 / 3:56
htmeP3R7Eaw,English - Caption,from somebody who needs it.,0:31 / 3:56
htmeP3R7Eaw,English - Caption,from somebody who needs it.,0:32 / 3:56
htmeP3R7Eaw,English - Caption,What if that someone's you?,0:32 / 3:56
htmeP3R7Eaw,English - Caption,What if that someone's you?,0:33 / 3:56
htmeP3R7Eaw,English - Caption,What if that someone's you?,0:34 / 3:56
htmeP3R7Eaw,English - Caption,[ Coughs ] ♪ There's a darkness up ahead ♪,0:34 / 3:56
htmeP3R7Eaw,English - Caption,[ Coughs ] ♪ There's a darkness up ahead ♪,0:35 / 3:56
htmeP3R7Eaw,English - Caption,[ Coughs ] ♪ There's a darkness up ahead ♪,0:36 / 3:56
htmeP3R7Eaw,English - Caption,It's not. Not yet.,0:37 / 3:56
htmeP3R7Eaw,English - Caption,It's not. Not yet.,0:38 / 3:56
htmeP3R7Eaw,English - Caption,It's not. Not yet.,0:39 / 3:56
htmeP3R7Eaw,English - Caption,My kids need me.,0:40 / 3:56
htmeP3R7Eaw,English - Caption,My kids need me.,0:41 / 3:56
htmeP3R7Eaw,English - Caption,We all need you. ♪ I will see you ♪,0:41 / 3:56
htmeP3R7Eaw,English - Caption,We all need you. ♪ I will see you ♪,0:42 / 3:56
htmeP3R7Eaw,English - Caption,We all need you. ♪ I will see you ♪,0:43 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,0:44 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,0:45 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,0:46 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,0:47 / 3:56
htmeP3R7Eaw,English - Caption,♪ Cross the badlands to rise again ♪,0:47 / 3:56
htmeP3R7Eaw,English - Caption,♪ Cross the badlands to rise again ♪,0:48 / 3:56
htmeP3R7Eaw,English - Caption,♪ Cross the badlands to rise again ♪,0:49 / 3:56
htmeP3R7Eaw,English - Caption,♪ Cross the badlands to rise again ♪,0:50 / 3:56
htmeP3R7Eaw,English - Caption,♪ Cross the badlands to rise again ♪,0:51 / 3:56
htmeP3R7Eaw,English - Caption,♪ Cross the badlands to rise again ♪,0:52 / 3:56
htmeP3R7Eaw,English - Caption,[ Door closes ],0:53 / 3:56
htmeP3R7Eaw,English - Caption,They're ready for you. ♪ I will see you ♪,0:54 / 3:56
htmeP3R7Eaw,English - Caption,They're ready for you. ♪ I will see you ♪,0:55 / 3:56
htmeP3R7Eaw,English - Caption,They're ready for you. ♪ I will see you ♪,0:56 / 3:56
htmeP3R7Eaw,English - Caption,They're ready for you. ♪ I will see you ♪,0:57 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,0:57 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,0:58 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,0:59 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,1:00 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,1:01 / 3:56
htmeP3R7Eaw,English - Caption,♪ There's a darkness up ahead ♪,1:01 / 3:56
htmeP3R7Eaw,English - Caption,♪ There's a darkness up ahead ♪,1:02 / 3:56
htmeP3R7Eaw,English - Caption,♪ There's a darkness up ahead ♪,1:03 / 3:56
htmeP3R7Eaw,English - Caption,♪ There's a darkness up ahead ♪,1:04 / 3:56
htmeP3R7Eaw,English - Caption,♪ There's a darkness up ahead ♪,1:05 / 3:56
htmeP3R7Eaw,English - Caption,♪ There's a darkness up ahead ♪,1:06 / 3:56
htmeP3R7Eaw,English - Caption,♪ There's a darkness up ahead ♪,1:07 / 3:56
htmeP3R7Eaw,English - Caption,♪ I will see you ♪,1:08 / 3:56
htmeP3R7Eaw,English - Caption,♪ I will see you ♪,1:09 / 3:56
htmeP3R7Eaw,English - Caption,♪ I will see you ♪,1:10 / 3:56
htmeP3R7Eaw,English - Caption,♪ I will see you ♪,1:11 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,1:12 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,1:13 / 3:56
htmeP3R7Eaw,English - Caption,♪ Where the shadow ends ♪,1:14 / 3:56
htmeP3R7Eaw,English - Caption,♪ Cross the badlands to rise again ♪,1:15 / 3:56
htmeP3R7Eaw,English - Caption,♪ Cross the badlands to rise again ♪,1:16 / 3:56
htmeP3R7Eaw,English - Caption,Meredith: They say following  the rules saves lives.,1:17 / 3:56
htmeP3R7Eaw,English - Caption,Meredith: They say following  the rules saves lives.,1:18 / 3:56
htmeP3R7Eaw,English - Caption,Meredith: They say following  the rules saves lives.,1:19 / 3:56
htmeP3R7Eaw,English - Caption,"Richard: When you decided to go to med school,",1:20 / 3:56
htmeP3R7Eaw,English - Caption,"Richard: When you decided to go to med school,",1:21 / 3:56
htmeP3R7Eaw,English - Caption,you had dreams of a career.,1:22 / 3:56
htmeP3R7Eaw,English - Caption,you had dreams of a career.,1:23 / 3:56
